Talent,McKinsey,Google,Scania,H&M,Microsoft,Nordea,Volvo,Acando,L'Oreal,Schibsted
Sofi Fridland,2,-996,3,5,5,2,-996,3,5,5
Stefan van Tulder,4,-996,4,5,5,4,-996,4,5,5
David BarklÌ_f,0,2,-999,-996,-1,0,2,-999,-996,-1
Rucha Sarma,-996,-996,4,-995,-995,-996,-996,4,-995,-995
Yatin Sethi,4,4,4,5,-995,4,4,4,5,-995
Andrea Marino,-996,-996,4,5,5,-996,-996,4,5,5
Ariel Noorani,-2,2,-1,4,-2,-2,2,-1,4,-2
John Doe,2,-996,3,5,4,2,-996,3,5,4
Tom Krikke,2,-996,3,5,5,2,2,-999,-996,-1
Nathan Lam,4,-996,4,5,5,4,-996,4,-995,-995
Therese Bragdon,2,-996,3,5,5,2,-996,3,5,5
Jerrica Lima,4,-996,4,5,5,4,-996,4,5,5
Thalia Araki,0,2,-999,-996,-1,0,2,-999,-996,-1
Denyse Shealey,-996,-996,4,-995,-995,-996,-996,4,-995,-995
Shamika Welsch,4,4,4,5,-995,4,4,4,5,-995
Carmelina Kautz,-996,-996,4,5,5,-996,-996,4,5,5
Joseph Meneses,-2,2,-1,4,-2,-2,2,-1,4,-2
Allegra Sedlock,2,-996,3,5,4,2,-996,3,5,4
Sylvie Jerman,2,2,-999,-996,-1,2,-996,3,5,5
Leigh Bruneau,4,-996,4,-995,-995,4,-996,4,5,5
Catherine Banfield,-996,3,5,5,2,-996,3,5,5,2
Domingo Lockamy,-996,4,5,5,4,-996,4,5,5,4
Krystle Houchens,2,-999,-996,-1,0,2,-999,-996,-1,0
Artie Straub,-996,4,-995,-995,-996,-996,4,-995,-995,-996
Cami Yutzy,4,4,5,-995,4,4,4,5,-995,4
Katina Shirey,-996,4,5,5,-996,-996,4,5,5,-996
Slyvia Villalvazo,2,-1,4,-2,-2,2,-1,4,-2,-2
Zachary Desjardins,-996,3,5,4,2,-996,3,5,4,2
Eleonore Hoffer,-996,3,5,5,2,2,-999,-996,-1,2
Kandi Bergdoll,-996,4,5,5,4,-996,4,-995,-995,4
