Talent,1,2,3,4,5,6,7,8,9,10,,,
Sofi Fridland,Google,McKinsey,Volvo,H&M,Scania,Acando,L'Oreal,Nordea,Schibsted,Microsoft,,,
Stefan van Tulder,Microsoft,Schibsted,Volvo,Acando,L'Oreal,McKinsey,Google,Nordea,Scania,H&M,,,
David Barkl’_f,McKinsey,H&M,Microsoft,Nordea,Acando,L'Oreal,Schibsted,Scania,Google,Volvo,,,
Rucha Sarma,Microsoft,McKinsey,Schibsted,Google,H&M,Scania,Acando,Nordea,Volvo,L'Oreal,,,
Yatin Sethi,Acando,Microsoft,Volvo,Scania,H&M,Schibsted,L'Oreal,McKinsey,Nordea,Google,,,
Andrea Marino,Google,Nordea,Volvo,H&M,McKinsey,Schibsted,Microsoft,Acando,Scania,L'Oreal,,,
Ariel Noorani,Volvo,Schibsted,L'Oreal,McKinsey,Acando,Microsoft,Scania,H&M,Google,Nordea,,,
John Doe,Nordea,Google,Scania,Microsoft,L'Oreal,H&M,Schibsted,Acando,McKinsey,Volvo,,,
Tom Krikke,Microsoft,Scania,Google,Schibsted,Acando,H&M,McKinsey,Nordea,L'Oreal,Volvo,,,
Nathan Lam,Google,H&M,McKinsey,Schibsted,Nordea,L'Oreal,Acando,Scania,Volvo,Microsoft,,,
Felipe Rogers,Google,Nordea,Schibsted,Microsoft,McKinsey,Volvo,H&M,Scania,Acando,L'Oreal,,,
Yolanda Ruiz,Google,Scania,Volvo,Nordea,H&M,Microsoft,Acando,Schibsted,L'Oreal,McKinsey,,,
Charlotte Riley,Google,Scania,Nordea,Schibsted,McKinsey,H&M,Volvo,L'Oreal,Microsoft,Acando,,,
Carlos Simmons,Google,Nordea,Scania,Acando,Volvo,McKinsey,Microsoft,Schibsted,L'Oreal,H&M,,,
Ira Sandoval,Microsoft,Nordea,Acando,Schibsted,H&M,Scania,Volvo,Google,L'Oreal,McKinsey,,,
Michael Valdez,Schibsted,L'Oreal,McKinsey,Google,Acando,Scania,H&M,Volvo,Microsoft,Nordea,,,
Adam Morales,Acando,Scania,Volvo,Microsoft,H&M,McKinsey,Schibsted,Nordea,L'Oreal,Google,,,
Roberto Roy,L'Oreal,Nordea,Schibsted,Microsoft,McKinsey,Volvo,H&M,Scania,Acando,Google,,,
Blanca Kelly,Schibsted,L'Oreal,Microsoft,Nordea,McKinsey,Volvo,H&M,Scania,Acando,Google,,,
Dianne Schmidt,Acando,Scania,Volvo,Microsoft,H&M,McKinsey,Schibsted,Nordea,L'Oreal,Google,,,
Eduardo Ruiz,Microsoft,McKinsey,Volvo,H&M,Scania,Acando,L'Oreal,Google,Nordea,Schibsted,,,
Clifford Joseph,Nordea,H&M,Microsoft,Google,Schibsted,L'Oreal,Acando,McKinsey,Scania,Volvo,,,
Beulah Carlson,Schibsted,McKinsey,H&M,Volvo,L'Oreal,Microsoft,Acando,Google,Scania,Nordea,,,
Robert Riley,Acando,Google,McKinsey,Microsoft,Schibsted,L'Oreal,Volvo,H&M,Nordea,Scania,,,
Kristina Lane,Schibsted,H&M,Scania,Volvo,Google,L'Oreal,Microsoft,McKinsey,Nordea,Acando,,,
Marty Fisher,Google,Acando,Scania,H&M,Volvo,Microsoft,Schibsted,Nordea,L'Oreal,McKinsey,,,
Gary Walton,Microsoft,H&M,McKinsey,Schibsted,Nordea,L'Oreal,Acando,Google,Scania,Volvo,,,
Marta Moody,Microsoft,McKinsey,Volvo,H&M,Scania,Acando,L'Oreal,Google,Nordea,Schibsted,,,
Delores Berry,Nordea,McKinsey,Volvo,H&M,Scania,Acando,Schibsted,Google,L'Oreal,Microsoft,,,
Gerard Ingram,Microsoft,H&M,McKinsey,Schibsted,Nordea,L'Oreal,Acando,Google,Scania,Volvo,,,
